,state_name,abbrev,code,state_code,population_size,median_household_income,median_age,median_housing_value,employment_status_num
0,Alabama,Ala.,AL,01,5039877,1967559,39.8,1377932,4046627
1,Alaska,Alaska,AK,02,732673,271311,35.6,181145,571832
2,Arizona,Ariz.,AZ,04,7276316,2817723,38.6,1905690,5852913
3,Arkansas,Ark.,AR,05,3025891,1183675,38.5,793038,2405035
4,California,Calif.,CA,06,39237836,13429063,37.6,7502706,31507237
5,Colorado,Colo.,CO,08,5812069,2313042,37.6,1546233,4720626
6,Connecticut,Conn.,CT,09,3605597,1428313,41.1,951516,2971314
7,Delaware,Del.,DE,10,1003384,395656,41.6,287111,819868
8,District of Columbia,D.C.,DC,11,670050,319565,34.8,132936,553437
9,Florida,Fla.,FL,12,21781128,8565329,42.8,5772329,18010659
10,Georgia,Ga.,GA,13,10799566,4001109,37.5,2642126,8575918
11,Hawaii,Hawaii,HI,15,1441553,490080,40.2,306653,1166220
12,Idaho,Idaho,ID,16,1900923,693882,37.3,498872,1484932
13,Illinois,Ill.,IL,17,12671469,4991641,39.0,3370654,10203044
14,Indiana,Ind.,IN,18,6805985,2680694,38.2,1905849,5401077
15,Iowa,Iowa,IA,19,3193079,1300467,38.5,935111,2543525
16,Kansas,Kans.,KS,20,2934582,1159026,37.3,776740,2315379
17,Kentucky,Ky.,KY,21,4509394,1785682,39.1,1225996,3612858
18,Louisiana,La.,LA,22,4624047,1783924,38.0,1200910,3663069
19,Maine,Maine,ME,23,1372247,593626,44.7,444231,1155699
20,Maryland,Md.,MD,24,6165129,2355652,39.3,1597663,4964751
21,Massachusetts,Mass.,MA,25,6984723,2759018,39.9,1742436,5790261
22,Michigan,Mich.,MI,26,10050811,4051798,40.2,2966347,8156411
23,Minnesota,Minn.,MN,27,5707390,2281033,38.8,1665101,4554126
24,Mississippi,Miss.,MS,28,2949965,1129611,38.6,787068,2340485
25,Missouri,Mo.,MO,29,6168187,2468726,39.2,1698595,4949628
26,Montana,Mont.,MT,30,1104271,448949,40.1,311861,895986
27,Nebraska,Nebr.,NE,31,1963692,785982,37.2,532582,1534896
28,Nevada,Nev.,NV,32,3143991,1191380,38.7,704548,2526328
29,New Hampshire,N.H.,NH,33,1388992,548026,43.1,397225,1164253
30,New Jersey,N.J.,NJ,34,9267130,3497945,40.3,2252974,7489289
31,New Mexico,N.M.,NM,35,2115877,834007,39.1,579708,1700082
32,New York,N.Y.,NY,36,19835913,7652666,39.8,4239037,16210453
33,North Carolina,N.C.,NC,37,10551162,4179632,39.4,2794211,8524268
34,North Dakota,N.D.,ND,38,774948,322511,35.8,203549,610714
35,Ohio,Ohio,OH,39,11780017,4832922,39.6,3246486,9480334
36,Oklahoma,Okla.,OK,40,3986639,1547967,37.2,1013837,3140799
37,Oregon,Ore.,OR,41,4246155,1702599,40.1,1086030,3487919
38,Pennsylvania,Pa.,PA,42,12964056,5228956,40.9,3657478,10602171
39,Rhode Island,R.I.,RI,44,1095610,440170,40.6,278449,913136
40,South Carolina,S.C.,SC,45,5190705,2049972,40.2,1471296,4207365
41,South Dakota,S.D.,SD,46,895376,356887,37.6,247630,699893
42,Tennessee,Tenn.,TN,47,6975218,2770395,39.2,1869046,5616708
43,Texas,Tex.,TX,48,29527941,10796247,35.5,6761002,22934023
44,Utah,Utah,UT,49,3337975,1101499,31.8,768062,2507029
45,Vermont,Vt.,VT,50,645570,270163,42.9,196291,542827
46,Virginia,Va.,VA,51,8642274,3331461,38.8,2252170,6980718
47,Washington,Wash.,WA,53,7738692,3022255,38.2,1933901,6250868
48,West Virginia,W.Va.,WV,54,1782959,722201,42.8,542805,1465755
49,Wisconsin,Wis.,WI,55,5895908,2449970,40.1,1668575,4773326
50,Wyoming,Wyo.,WY,56,578803,242763,39.0,173247,461622
